MaGiaoDan;MaHonPhoi;SoThuTu;UpdateDate;MaGiaoXuRieng
46;1;1;2018/09/30 06:11:43;1232
45;1;1;2018/09/30 06:11:43;1232
82;2;1;2018/09/30 06:11:43;1232
81;2;1;2018/09/30 06:11:43;1232
755;3;1;2018/09/30 06:11:43;1232
754;3;1;2018/09/30 06:11:43;1232
783;4;1;2018/09/30 06:11:43;1232
782;4;1;2018/09/30 06:11:43;1232
2;5;1;2018/09/30 06:11:43;1232
1;5;1;2018/09/30 06:11:43;1232
339;6;1;2018/09/30 06:11:43;1232
926;6;1;2018/09/30 06:11:43;1232
3203;7;1;2018/09/30 06:11:43;1232
3202;7;1;2018/09/30 06:11:43;1232
3334;8;1;2018/09/30 06:11:43;1232
3333;8;1;2018/09/30 06:11:43;1232
3582;9;1;2018/09/30 06:11:43;1232
3584;9;1;2018/09/30 06:11:43;1232
3654;10;1;2018/09/30 06:11:43;1232
3655;10;1;2018/09/30 06:11:43;1232
3736;12;1;2018/09/30 06:11:43;1232
3731;12;1;2018/09/30 06:11:43;1232
4031;13;1;2018/09/30 06:11:43;1232
4030;13;1;2018/09/30 06:11:43;1232
3503;14;1;2018/09/30 06:11:43;1232
3502;14;1;2018/09/30 06:11:43;1232
1545;16;1;2018/09/30 06:11:43;1232
4123;16;1;2018/09/30 06:11:43;1232
4128;17;1;2018/09/30 06:11:43;1232
4127;17;1;2018/09/30 06:11:43;1232
5775;19;1;2018/09/30 06:11:43;1232
5774;19;1;2018/09/30 06:11:43;1232
3340;20;1;2018/09/30 06:11:43;1232
7220;20;1;2018/09/30 06:11:43;1232
3170;21;1;2018/09/30 06:11:43;1232
3517;21;1;2018/09/30 06:11:43;1232
1814;22;1;2018/09/30 06:11:43;1232
1813;22;1;2018/09/30 06:11:43;1232
1827;23;1;2018/09/30 06:11:43;1232
1826;23;1;2018/09/30 06:11:43;1232
5151;24;1;2018/09/30 06:11:43;1232
5150;24;1;2018/09/30 06:11:43;1232
10156;25;1;2018/09/30 06:11:43;1232
10155;25;1;2018/09/30 06:11:43;1232
10229;26;1;2018/09/30 06:11:43;1232
3158;26;1;2018/09/30 06:11:43;1232
9818;27;1;2018/09/30 06:11:43;1232
9817;27;1;2018/09/30 06:11:43;1232
1607;28;1;2018/09/30 06:11:43;1232
5549;28;1;2018/09/30 06:11:43;1232
7120;29;1;2018/09/30 06:11:43;1232
7119;29;1;2018/09/30 06:11:43;1232
6324;31;1;2018/09/30 06:11:43;1232
6323;31;1;2018/09/30 06:11:43;1232
4832;33;1;2018/09/30 06:11:43;1232
4831;33;1;2018/09/30 06:11:43;1232
1818;34;1;2018/09/30 06:11:43;1232
1817;34;1;2018/09/30 06:11:43;1232
10230;35;1;2018/09/30 06:11:43;1232
3541;35;1;2018/09/30 06:11:43;1232
10231;36;1;2018/09/30 06:11:43;1232
7661;36;1;2018/09/30 06:11:43;1232
7113;37;1;2018/09/30 06:11:43;1232
7112;37;1;2018/09/30 06:11:43;1232
10232;38;1;2018/09/30 06:11:43;1232
1261;38;1;2018/09/30 06:11:43;1232
10233;40;1;2018/09/30 06:11:43;1232
9359;40;1;2018/09/30 06:11:43;1232
6544;41;1;2018/09/30 06:11:43;1232
6543;41;1;2018/09/30 06:11:43;1232
8821;42;1;2018/09/30 06:11:43;1232
8820;42;1;2018/09/30 06:11:43;1232
5720;43;1;2018/09/30 06:11:43;1232
5719;43;1;2018/09/30 06:11:43;1232
10234;44;1;2018/09/30 06:11:43;1232
2282;44;1;2018/09/30 06:11:43;1232
3138;45;1;2018/09/30 06:11:43;1232
3137;45;1;2018/09/30 06:11:43;1232
9276;46;1;2018/09/30 06:11:43;1232
9275;46;1;2018/09/30 06:11:43;1232
7010;47;1;2018/09/30 06:11:43;1232
7009;47;1;2018/09/30 06:11:43;1232
7117;48;1;2018/09/30 06:11:43;1232
7116;48;1;2018/09/30 06:11:43;1232
8508;49;1;2018/09/30 06:11:43;1232
8507;49;1;2018/09/30 06:11:43;1232
10236;50;1;2018/09/30 06:11:43;1232
10235;50;1;2018/09/30 06:11:43;1232
1870;51;1;2018/09/30 06:11:43;1232
1869;51;1;2018/09/30 06:11:43;1232
10238;52;1;2018/09/30 06:11:43;1232
10237;52;1;2018/09/30 06:11:43;1232
10240;53;1;2018/09/30 06:11:43;1232
10239;53;1;2018/09/30 06:11:43;1232
5726;54;1;2018/09/30 06:11:43;1232
5725;54;1;2018/09/30 06:11:43;1232
9474;55;1;2018/09/30 06:11:43;1232
9473;55;1;2018/09/30 06:11:43;1232
