MaGiaoHo;TenGiaoHo;DaXoa;UpdateDate;MaNhanDang;MaGiaoHoCha;MaGiaoXuRieng
1;Bình Thuận;False;2018/09/30 06:11:44;073AF40039FB447786AGIAOHO1636595029421506032;;1232
2;Giuse;False;2018/09/30 06:11:44;4AE3AC0FE00F48D3809GIAOHO2636593411609006809;;1232
3;Kẻ Đọng;False;2018/09/30 06:11:44;04D4EB9F8DBE437F9C8GIAOHO1636595036307885340;;1232
4;La Vang;False;2018/09/30 06:11:44;A3AE96C57C3E44428C7GIAOHO2636608021019903694;;1232
5;Mỹ Yên;False;2018/09/30 06:11:44;4AE3AC0FE00F48D3809GIAOHO5636593412936832756;;1232
6;Thanh Lâm;False;2018/09/30 06:11:44;4AE3AC0FE00F48D3809GIAOHO6636593413123423429;;1232
7;Thanh Sơn;False;2018/09/30 06:11:44;4AE3AC0FE00F48D3809GIAOHO7636593413221079014;;1232
8;Vinh Đức;False;2018/09/30 06:11:44;4AE3AC0FE00F48D3809GIAOHO8636593413335835578;;1232
9;Xuân Sơn;False;2018/09/30 06:11:44;073AF40039FB447786AGIAOHO3636595066510985663;;1232
10;Xuân Thành;False;2018/09/30 06:11:44;4AE3AC0FE00F48D3809GIAOHO10636593413625382139;;1232
11;Xuân Trang;False;2018/09/30 06:11:44;4AE3AC0FE00F48D3809GIAOHO11636593413738048583;;1232
12;Tổ 1;False;2018/09/30 06:11:44;D9C3E86FBEBC4CA896CGIAOHO12636611788006021088;8;1232
13;Tổ 2;False;2018/09/30 06:11:44;D9C3E86FBEBC4CA896CGIAOHO13636611788043773155;8;1232
14;Tổ 3;False;2018/09/30 06:11:44;D9C3E86FBEBC4CA896CGIAOHO14636611788096969248;8;1232
15;Tổ 4;False;2018/09/30 06:11:44;D9C3E86FBEBC4CA896CGIAOHO15636611788143145329;8;1232
16;Tổ 5;False;2018/09/30 06:11:44;D9C3E86FBEBC4CA896CGIAOHO16636611788199305428;8;1232
