MaGiaDinh;MaGiaoDan;VaiTro;ChuHo;UpdateDate;MaGiaoXuRieng
1;3;2;False;;
2;6;2;False;;
2;7;2;False;;
2;8;2;False;;
2;4;0;True;;
2;5;1;False;;
3;11;2;False;;
3;9;0;True;;
3;10;1;False;;
4;14;2;False;;
4;12;0;True;;
4;13;1;False;;
5;17;2;False;;
5;15;0;True;;
5;16;1;False;;
6;20;2;False;;
6;21;2;False;;
6;18;0;True;;
6;19;1;False;;
10;42;2;False;;
10;41;2;False;;
10;40;1;False;;
10;39;0;False;;
11;43;0;True;;
11;44;1;False;;
11;45;2;False;;
12;47;2;False;;
12;48;2;False;;
12;49;2;False;;
12;45;0;True;;
12;46;1;False;;
13;52;2;False;;
13;53;2;False;;
13;54;2;False;;
13;50;0;True;;
13;51;1;False;;
14;55;0;True;;
14;56;1;False;;
15;59;2;False;;
15;60;2;False;;
15;57;0;True;;
15;58;1;False;;
16;63;2;False;;
16;64;2;False;;
16;65;2;False;;
16;61;0;True;;
16;62;1;False;;
17;66;0;True;;
18;69;2;False;;
18;70;2;False;;
18;71;2;False;;
18;72;2;False;;
18;73;2;False;;
18;67;0;True;;
18;68;1;False;;
19;76;2;False;;
19;77;2;False;;
19;78;2;False;;
19;79;2;False;;
19;80;2;False;;
19;74;0;True;;
19;75;1;False;;
20;83;2;False;;
20;81;0;True;;
20;82;1;False;;
21;86;2;False;;
21;87;2;False;;
21;88;2;False;;
21;84;0;True;;
21;85;1;False;;
22;91;2;False;;
22;92;2;False;;
22;93;2;False;;
22;89;0;True;;
22;90;1;False;;
23;96;2;False;;
23;97;2;False;;
23;98;2;False;;
23;99;2;False;;
23;94;0;True;;
23;95;1;False;;
24;104;2;False;;
24;105;2;False;;
24;106;2;False;;
24;107;2;False;;
24;103;0;True;;
24;101;1;False;;
25;110;2;False;;
25;111;2;False;;
25;108;0;True;;
25;109;1;False;;
26;114;2;False;;
26;115;2;False;;
26;112;0;True;;
26;113;1;False;;
27;118;17;False;;
27;119;2;False;;
27;120;2;False;;
27;121;2;False;;
27;116;0;True;;
27;117;1;False;;
28;124;2;False;;
28;122;0;True;;
28;123;1;False;;
29;127;2;False;;
29;128;2;False;;
29;129;2;False;;
29;130;2;False;;
29;131;2;False;;
29;132;2;False;;
29;125;0;True;;
29;126;1;False;;
30;135;2;False;;
30;136;2;False;;
30;137;2;False;;
30;133;0;True;;
30;134;1;False;;
31;142;17;False;;
31;143;2;False;;
31;144;2;False;;
31;140;0;True;;
31;141;1;False;;
32;145;1;True;;
33;148;2;False;;
33;149;2;False;;
33;150;2;False;;
33;151;2;False;;
33;152;2;False;;
33;153;2;False;;
33;146;0;True;;
33;147;1;False;;
34;156;2;False;;
34;157;2;False;;
34;158;2;False;;
34;159;2;False;;
34;154;0;True;;
34;155;1;False;;
35;162;2;False;;
35;163;2;False;;
35;164;2;False;;
35;160;0;True;;
35;161;1;False;;
36;166;2;False;;
36;165;1;True;;
37;169;2;False;;
37;170;2;False;;
37;171;2;False;;
37;172;2;False;;
37;167;0;True;;
37;168;1;False;;
38;175;2;False;;
38;176;2;False;;
38;173;0;True;;
38;174;1;False;;
39;179;2;False;;
39;180;2;False;;
39;181;2;False;;
39;182;2;False;;
39;183;2;False;;
39;177;0;True;;
39;178;1;False;;
40;184;1;True;;
41;187;2;False;;
41;188;2;False;;
41;189;2;False;;
41;190;2;False;;
41;185;0;True;;
41;186;1;False;;
42;193;2;False;;
42;194;2;False;;
42;191;0;True;;
42;192;1;False;;
43;197;2;False;;
43;198;2;False;;
43;195;0;True;;
43;196;1;False;;
44;201;2;False;;
44;202;2;False;;
44;203;2;False;;
44;199;0;True;;
44;200;1;False;;
45;206;2;False;;
45;204;0;False;;
45;205;1;True;;
46;209;2;False;;
46;210;2;False;;
46;211;2;False;;
46;207;0;True;;
46;208;1;False;;
47;214;2;False;;
47;215;2;False;;
47;216;2;False;;
47;217;2;False;;
47;218;2;False;;
47;212;0;True;;
47;213;1;False;;
48;221;2;False;;
48;222;2;False;;
48;223;2;False;;
48;219;0;True;;
48;220;1;False;;
49;226;2;False;;
49;224;0;True;;
49;225;1;False;;
50;231;5;False;;
50;232;17;False;;
50;233;2;False;;
50;234;2;False;;
50;229;0;True;;
50;230;1;False;;
51;237;2;False;;
51;238;2;False;;
51;239;2;False;;
51;240;2;False;;
51;241;2;False;;
51;235;0;True;;
51;236;1;False;;
52;244;2;False;;
52;242;0;True;;
52;243;1;False;;
53;247;2;False;;
53;248;2;False;;
53;249;2;False;;
53;250;2;False;;
53;245;0;True;;
53;246;1;False;;
54;253;2;False;;
54;251;0;True;;
54;252;1;False;;
55;254;0;True;;
55;255;1;False;;
56;258;2;False;;
56;259;2;False;;
56;256;0;True;;
56;257;1;False;;
57;262;2;False;;
57;263;2;False;;
57;260;0;True;;
57;261;1;False;;
58;266;2;False;;
58;267;2;False;;
58;268;2;False;;
58;269;2;False;;
58;264;0;False;;
58;265;1;True;;
59;272;2;False;;
59;273;2;False;;
59;270;0;True;;
59;271;1;False;;
60;276;2;False;;
60;274;0;True;;
60;275;1;False;;
61;279;2;False;;
61;280;2;False;;
61;277;0;True;;
61;278;1;False;;
62;283;2;False;;
62;284;2;False;;
62;285;2;False;;
62;286;2;False;;
62;287;2;False;;
62;288;2;False;;
62;281;0;True;;
62;282;1;False;;
63;289;0;True;;
63;290;1;False;;
64;292;2;False;;
64;293;2;False;;
64;294;2;False;;
64;291;1;True;;
65;298;2;False;;
65;299;2;False;;
65;300;2;False;;
65;301;2;False;;
66;306;2;False;;
66;307;2;False;;
66;308;2;False;;
66;304;0;True;;
66;305;1;False;;
67;310;2;False;;
67;309;1;True;;
68;313;2;False;;
68;314;2;False;;
68;315;2;False;;
68;311;0;True;;
68;312;1;False;;
69;318;2;False;;
69;319;2;False;;
69;320;2;False;;
69;321;2;False;;
69;316;0;True;;
69;317;1;False;;
70;324;2;False;;
70;325;2;False;;
70;322;0;True;;
70;323;1;False;;
71;328;2;False;;
71;329;2;False;;
71;330;5;False;;
72;333;2;False;;
72;334;2;False;;
72;335;2;False;;
72;336;2;False;;
72;337;5;False;;
72;331;0;True;;
72;332;1;False;;
65;338;2;False;;
65;295;0;True;;
65;297;1;False;;
73;340;2;False;;
73;341;2;False;;
73;342;2;False;;
73;343;2;False;;
74;346;2;False;;
74;347;2;False;;
74;348;2;False;;
74;349;2;False;;
74;344;0;True;;
74;345;1;False;;
75;352;2;False;;
75;353;2;False;;
75;354;2;False;;
75;350;0;True;;
75;351;1;False;;
76;357;2;False;;
76;358;2;False;;
76;359;2;False;;
76;355;0;True;;
76;356;1;False;;
77;361;2;False;;
77;362;2;False;;
77;363;2;False;;
77;364;2;False;;
77;360;0;True;;
78;367;2;False;;
78;368;2;False;;
78;365;0;True;;
78;366;1;False;;
79;371;2;False;;
79;372;2;False;;
79;369;0;True;;
79;370;1;False;;
80;375;2;False;;
80;376;2;False;;
80;377;2;False;;
80;378;2;False;;
80;379;2;False;;
80;380;2;False;;
80;373;0;True;;
80;374;1;False;;
81;383;2;False;;
81;384;2;False;;
81;381;0;True;;
81;382;1;False;;
82;387;2;False;;
82;388;2;False;;
82;389;2;False;;
82;390;2;False;;
82;391;2;False;;
82;392;2;False;;
82;393;2;False;;
82;385;0;True;;
82;386;1;False;;
83;396;2;False;;
83;397;2;False;;
83;398;2;False;;
83;394;0;True;;
83;395;1;False;;
84;400;2;False;;
84;401;2;False;;
84;402;2;False;;
84;403;2;False;;
84;404;4;False;;
84;399;1;True;;
85;407;2;False;;
85;408;2;False;;
85;409;2;False;;
85;410;2;False;;
85;405;0;True;;
85;406;1;False;;
86;413;2;False;;
86;414;2;False;;
86;411;0;True;;
86;412;1;False;;
87;417;2;False;;
87;415;0;True;;
87;416;1;False;;
88;420;2;False;;
88;418;0;True;;
88;419;1;False;;
89;423;2;False;;
89;424;2;False;;
89;421;0;True;;
89;422;1;False;;
90;427;2;False;;
90;428;2;False;;
90;429;2;False;;
90;425;0;True;;
90;426;1;False;;
91;432;2;False;;
91;433;2;False;;
91;434;2;False;;
91;430;0;True;;
91;431;1;False;;
92;437;2;False;;
92;438;2;False;;
92;439;2;False;;
92;435;0;True;;
92;436;1;False;;
93;442;2;False;;
93;443;2;False;;
93;444;2;False;;
93;445;2;False;;
93;446;2;False;;
93;440;0;True;;
93;441;1;False;;
94;449;2;False;;
94;450;2;False;;
94;451;2;False;;
94;447;0;True;;
94;448;1;False;;
95;454;2;False;;
95;452;0;True;;
95;453;1;False;;
96;457;2;False;;
96;458;2;False;;
96;459;2;False;;
96;460;2;False;;
96;455;0;True;;
96;456;1;False;;
97;463;2;False;;
97;461;0;True;;
97;462;1;False;;
98;466;2;False;;
98;467;2;False;;
98;464;0;True;;
98;465;1;False;;
99;470;2;False;;
99;468;0;True;;
99;469;1;False;;
100;473;2;False;;
100;474;2;False;;
100;475;2;False;;
100;471;0;True;;
100;472;1;False;;
101;478;2;False;;
101;479;2;False;;
101;476;0;True;;
101;477;1;False;;
102;482;2;False;;
102;480;0;True;;
102;481;1;False;;
73;926;0;False;;
71;326;0;True;;
103;485;2;False;;
103;486;2;False;;
104;489;2;False;;
104;487;0;True;;
104;488;1;False;;
105;492;2;False;;
105;490;0;True;;
105;491;1;False;;
106;493;0;True;;
107;496;2;False;;
107;497;2;False;;
107;498;2;False;;
107;499;2;False;;
107;494;0;False;;
107;495;1;True;;
108;502;2;False;;
108;503;2;False;;
108;504;2;False;;
108;500;0;True;;
108;501;1;False;;
109;506;2;False;;
109;507;2;False;;
109;505;1;True;;
110;510;2;False;;
110;511;2;False;;
110;508;0;True;;
110;509;1;False;;
111;514;2;False;;
111;515;2;False;;
111;516;2;False;;
111;517;2;False;;
111;512;0;True;;
111;513;1;False;;
112;520;2;False;;
112;521;2;False;;
112;522;2;False;;
112;523;2;False;;
112;518;0;True;;
112;519;1;False;;
113;525;2;False;;
113;526;2;False;;
113;524;1;True;;
114;529;2;False;;
114;527;0;True;;
114;528;1;False;;
115;531;2;False;;
115;532;2;False;;
115;533;2;False;;
115;530;0;True;;
116;536;2;False;;
116;537;2;False;;
116;534;0;True;;
116;535;1;False;;
117;540;2;False;;
117;538;0;True;;
117;539;1;False;;
118;543;2;False;;
118;544;2;False;;
118;545;2;False;;
118;541;0;True;;
118;542;1;False;;
119;548;2;False;;
119;549;2;False;;
119;550;2;False;;
119;546;0;True;;
119;547;1;False;;
120;553;2;False;;
120;554;2;False;;
120;555;2;False;;
120;556;2;False;;
120;551;0;True;;
120;552;1;False;;
121;559;2;False;;
121;560;2;False;;
121;561;2;False;;
121;557;0;True;;
121;558;1;False;;
122;562;0;True;;
122;563;1;False;;
123;566;2;False;;
123;567;2;False;;
123;564;0;True;;
123;565;1;False;;
124;570;2;False;;
124;571;2;False;;
124;568;0;True;;
124;569;1;False;;
125;576;2;False;;
125;577;2;False;;
125;578;2;False;;
125;574;0;True;;
125;575;1;False;;
126;581;2;False;;
126;582;2;False;;
126;583;2;False;;
126;579;0;True;;
126;580;1;False;;
127;586;2;False;;
127;584;0;True;;
127;585;1;False;;
128;589;2;False;;
128;590;2;False;;
128;587;0;True;;
128;588;1;False;;
129;593;2;False;;
129;594;2;False;;
129;595;2;False;;
129;591;0;True;;
129;592;1;False;;
130;598;2;False;;
130;599;2;False;;
130;600;2;False;;
130;596;0;True;;
130;597;1;False;;
131;603;2;False;;
131;604;2;False;;
131;605;2;False;;
131;601;0;True;;
131;602;1;False;;
132;608;2;False;;
132;609;2;False;;
132;610;2;False;;
132;611;2;False;;
132;606;0;True;;
132;607;1;False;;
133;614;2;False;;
133;615;2;False;;
133;612;0;True;;
133;613;1;False;;
134;618;2;False;;
134;619;2;False;;
134;620;2;False;;
134;616;0;True;;
134;617;1;False;;
135;623;2;False;;
135;624;2;False;;
135;621;0;True;;
135;622;1;False;;
136;627;5;False;;
136;629;2;False;;
136;630;2;False;;
136;625;0;True;;
136;626;1;False;;
137;632;2;False;;
137;633;2;False;;
137;634;2;False;;
137;631;1;True;;
138;637;2;False;;
138;638;2;False;;
138;635;0;True;;
138;636;1;False;;
139;641;2;False;;
139;639;0;True;;
139;640;1;False;;
140;644;2;False;;
140;645;2;False;;
140;642;0;True;;
140;643;1;False;;
141;648;2;False;;
141;649;2;False;;
141;650;2;False;;
141;646;0;True;;
141;647;1;False;;
142;651;0;True;;
142;652;1;False;;
143;655;2;False;;
143;653;0;True;;
143;654;1;False;;
144;658;2;False;;
144;659;2;False;;
144;660;2;False;;
144;656;0;True;;
144;657;1;False;;
145;663;2;False;;
145;664;2;False;;
145;665;2;False;;
145;661;0;True;;
145;662;1;False;;
146;668;2;False;;
146;669;2;False;;
146;670;2;False;;
146;666;0;True;;
146;667;1;False;;
147;673;2;False;;
147;674;2;False;;
147;671;0;True;;
147;672;1;False;;
148;677;2;False;;
148;678;2;False;;
148;675;0;True;;
148;676;1;False;;
149;681;2;False;;
149;682;2;False;;
149;679;0;True;;
149;680;1;False;;
150;685;2;False;;
150;686;2;False;;
150;683;0;True;;
150;684;1;False;;
151;687;0;True;;
151;688;1;False;;
152;691;2;False;;
152;692;2;False;;
152;693;2;False;;
152;694;2;False;;
152;689;0;True;;
152;690;1;False;;
153;697;2;False;;
153;698;2;False;;
153;695;0;True;;
153;696;1;False;;
154;701;2;False;;
154;702;2;False;;
154;703;2;False;;
154;704;2;False;;
154;699;0;True;;
154;700;1;False;;
155;707;2;False;;
155;708;2;False;;
155;709;2;False;;
155;705;0;True;;
155;706;1;False;;
156;712;2;False;;
156;713;2;False;;
157;716;2;False;;
157;717;2;False;;
157;714;0;True;;
157;715;1;False;;
