ID;LoaiDuLieu;MaDuLieu;DuLieu1;DuLieu2;UpdateDate;MaGiaoXuRieng
1;1;Maria;Maria;;;
2;1;Basiliô;Basiliô;;;
3;1;Grêgoriô Nazianzênô;Grêgoriô Nazianzênô;;;
4;1;Thánh Danh;Thánh Danh;;;
5;1;Elisabeth Ann Senton;Elisabeth Ann Senton;;;
6;1;Gioan Neumann;Gioan Neumann;;;
7;1;Anrê Besset;Anrê Besset;;;
8;1;Raymunđô;Raymunđô;;;
9;1;Giuse Tuấn;Giuse Tuấn;;;
10;1;Hilariô;Hilariô;;;
11;1;Đaminh Khảm;Đaminh Khảm;;;
12;1;Giuse Tả;Giuse Tả;;;
13;1;Luca Thìn;Luca Thìn;;;
14;1;Antôn;Antôn;;;
15;1;Phabianô;Phabianô;;;
16;1;Sêbastianô;Sêbastianô;;;
17;1;Anê;Anê;;;
18;1;Vinhsơn;Vinhsơn;;;
19;1;Matthêu Đậu;Matthêu Đậu;;;
20;1;Phanxicô Tế;Phanxicô Tế;;;
21;1;Phanxicô Salêsiô;Phanxicô Salêsiô;;;
22;1;Phaolô;Phaolô;;;
23;1;Timôthêô;Timôthêô;;;
24;1;Titô;Titô;;;
25;1;Angiêla Mêrisi;Angiêla Mêrisi;;;
26;1;Tôma Aquinô;Tôma Aquinô;;;
27;1;Tôma Khuông;Tôma Khuông;;;
28;1;Gioan Boscô;Gioan Boscô;;;
29;1;Maria;Maria;;;
30;1;Gioan Ven;Gioan Ven;;;
31;1;Blasiô;Blasiô;;;
32;1;Ansgariô;Ansgariô;;;
33;1;Agatha;Agatha;;;
34;1;Phaolô Miki;Phaolô Miki;;;
35;1;Giêrônimô Emilianô;Giêrônimô Emilianô;;;
36;1;Giôsêphina Bakhita;Giôsêphina Bakhita;;;
37;1;Scholastica;Scholastica;;;
38;1;Maria;Maria;;;
39;1;Lorensô Hưởng;Lorensô Hưởng;;;
40;1;Phaolô Lộc;Phaolô Lộc;;;
41;1;Cyrillô;Cyrillô;;;
42;1;Mêthôđiô;Mêthôđiô;;;
43;1;Phêrô Đamianô;Phêrô Đamianô;;;
44;1;Pôlicarpô;Pôlicarpô;;;
45;1;Katherine Drexel;Katherine Drexel;;;
46;1;Casimirô;Casimirô;;;
47;1;Perpêtua;Perpêtua;;;
48;1;Phêlicita;Phêlicita;;;
49;1;Gioan Thiên Chúa;Gioan Thiên Chúa;;;
50;1;Phanxica Roma;Phanxica Roma;;;
51;1;Đaminh Cẩm;Đaminh Cẩm;;;
52;1;Patriciô;Patriciô;;;
53;1;Cyrillô;Cyrillô;;;
54;1;Giuse;Giuse;;;
55;1;Turibiô Môgrôvêjô;Turibiô Môgrôvêjô;;;
56;1;Maria;Maria;;;
57;1;Phanxicô Paola;Phanxicô Paola;;;
58;1;Đaminh Tước;Đaminh Tước;;;
59;1;Isiđôrô;Isiđôrô;;;
60;1;Vinhsơn Phêriê;Vinhsơn Phêriê;;;
61;1;Phaolô Tịnh;Phaolô Tịnh;;;
62;1;Gioan Bt. Lasan;Gioan Bt. Lasan;;;
63;1;Phêrô Lựu;Phêrô Lựu;;;
64;1;Stanislaô;Stanislaô;;;
65;1;Martinô I;Martinô I;;;
66;1;Anselmô;Anselmô;;;
67;1;Georgiô;Georgiô;;;
68;1;Ađalbertô;Ađalbertô;;;
69;1;Fiđêlê Sigmaringen;Fiđêlê Sigmaringen;;;
70;1;Marcô;Marcô;;;
71;1;Giaon Bt. Thành;Giaon Bt. Thành;;;
72;1;Phêrô Chanel;Phêrô Chanel;;;
73;1;Phaolô Khoan;Phaolô Khoan;;;
74;1;Phêrô Hiếu;Phêrô Hiếu;;;
75;1;Catêrina Siêna;Catêrina Siêna;;;
76;1;Piô V;Piô V;;;
77;1;Giuse Tuân;Giuse Tuân;;;
78;1;Giuse;Giuse;;;
79;1;Augustinô Đông;Augustinô Đông;;;
80;1;Gioan Hương;Gioan Hương;;;
81;1;Athanasiô;Athanasiô;;;
82;1;Philipphê;Philipphê;;;
83;1;Giacôbê;Giacôbê;;;
84;1;Giuse Lựu;Giuse Lựu;;;
85;1;Giuse Hiển;Giuse Hiển;;;
86;1;Matthêu Gẫm;Matthêu Gẫm;;;
87;1;Nêrêô;Nêrêô;;;
88;1;Achillêô;Achillêô;;;
89;1;Pancratiô;Pancratiô;;;
90;1;Maria;Maria;;;
91;1;Matthia;Matthia;;;
92;1;Isidorê;Isidorê;;;
93;1;Gioan I;Gioan I;;;
94;1;Bernarđinô Siêna;Bernarđinô Siêna;;;
95;1;Gioan Tân;Gioan Tân;;;
96;1;Christôphôrô Magallanes;Christôphôrô Magallanes;;;
97;1;Lorensô Ngôn;Lorensô Ngôn;;;
98;1;Micae Hy;Micae Hy;;;
99;1;Bêđa;Bêđa;;;
100;1;Grêgôriô VII;Grêgôriô VII;;;
101;1;Maria Mađalêna Pazzi;Maria Mađalêna Pazzi;;;
102;1;Phêrô Vân;Phêrô Vân;;;
103;1;Matthêu Phương;Matthêu Phương;;;
104;1;Philipphê Nêri;Philipphê Nêri;;;
105;1;Gioan Hoan;Gioan Hoan;;;
106;1;Augustinô;Augustinô;;;
107;1;Phaolô Hạnh;Phaolô Hạnh;;;
108;1;Maria;Maria;;;
109;1;Justinô;Justinô;;;
110;1;Giuse Túc;Giuse Túc;;;
111;1;Marcellinô;Marcellinô;;;
112;1;Phêrô;Phêrô;;;
113;1;Đaminh Ninh;Đaminh Ninh;;;
114;1;Carôlô Lwanga;Carôlô Lwanga;;;
115;1;Phaolô Dương;Phaolô Dương;;;
116;1;Bonifatiô;Bonifatiô;;;
117;1;Đaminh Huyện;Đaminh Huyện;;;
118;1;Đaminh Toái;Đaminh Toái;;;
119;1;Luca Loan;Luca Loan;;;
120;1;Norbertô;Norbertô;;;
121;1;Phêrô Dũng;Phêrô Dũng;;;
122;1;Phêrô Thuần;Phêrô Thuần;;;
123;1;Vinhsơn Dương;Vinhsơn Dương;;;
124;1;Ephrem;Ephrem;;;
125;1;Barnaba;Barnaba;;;
126;1;Augustinô Huy;Augustinô Huy;;;
127;1;Nicola Thể;Nicola Thể;;;
128;1;Maria;Maria;;;
129;1;Antôn;Antôn;;;
130;1;Anrê Tường;Anrê Tường;;;
131;1;Đaminh Mạo;Đaminh Mạo;;;
132;1;Đaminh Nguyên;Đaminh Nguyên;;;
133;1;Đaminh Nhi;Đaminh Nhi;;;
134;1;Vinhsơn Tường;Vinhsơn Tường;;;
135;1;Phêrô Đa;Phêrô Đa;;;
136;1;Rômualđô;Rômualđô;;;
137;1;Luy Gonzaga;Luy Gonzaga;;;
138;1;Paulinô;Paulinô;;;
139;1;Tôma More;Tôma More;;;
140;1;Gioan Fisher;Gioan Fisher;;;
141;1;Gioan Bt.;Gioan Bt.;;;
142;1;Đaminh Xuân;Đaminh Xuân;;;
143;1;Phanxicô Chiểu;Phanxicô Chiểu;;;
144;1;Cyrillô;Cyrillô;;;
145;1;Tôma Toán;Tôma Toán;;;
146;1;Irênê;Irênê;;;
