MaGiaDinh;MaGiaoDan;VaiTro;ChuHo;UpdateDate;MaGiaoXuRieng
1;3;2;False;2018/10/05 01:43:03;1234
1;4;2;False;2018/10/05 01:43:03;1234
1;5;2;False;2018/10/05 01:43:03;1234
1;6;2;False;2018/10/05 01:43:03;1234
2;9;2;False;2018/10/05 01:43:03;1234
2;10;2;False;2018/10/05 01:43:03;1234
2;11;2;False;2018/10/05 01:43:03;1234
3;14;2;False;2018/10/05 01:43:03;1234
3;15;2;False;2018/10/05 01:43:03;1234
3;16;2;False;2018/10/05 01:43:03;1234
5;20;2;False;2018/10/05 01:43:03;1234
5;21;2;False;2018/10/05 01:43:03;1234
6;24;2;False;2018/10/05 01:43:03;1234
6;25;2;False;2018/10/05 01:43:03;1234
6;26;2;False;2018/10/05 01:43:03;1234
7;29;2;False;2018/10/05 01:43:03;1234
7;30;2;False;2018/10/05 01:43:03;1234
9;36;2;False;2018/10/05 01:43:03;1234
9;37;2;False;2018/10/05 01:43:03;1234
10;40;2;False;2018/10/05 01:43:03;1234
11;44;18;False;2018/10/05 01:43:03;1234
11;45;18;False;2018/10/05 01:43:03;1234
12;48;2;False;2018/10/05 01:43:03;1234
12;49;2;False;2018/10/05 01:43:03;1234
12;50;2;False;2018/10/05 01:43:03;1234
13;53;2;False;2018/10/05 01:43:03;1234
13;54;2;False;2018/10/05 01:43:03;1234
14;57;2;False;2018/10/05 01:43:03;1234
15;60;2;False;2018/10/05 01:43:03;1234
15;61;2;False;2018/10/05 01:43:03;1234
15;62;2;False;2018/10/05 01:43:03;1234
15;63;2;False;2018/10/05 01:43:03;1234
16;71;2;False;2018/10/05 01:43:03;1234
16;72;2;False;2018/10/05 01:43:03;1234
17;75;2;False;2018/10/05 01:43:03;1234
18;78;2;False;2018/10/05 01:43:03;1234
19;82;2;False;2018/10/05 01:43:03;1234
19;83;2;False;2018/10/05 01:43:03;1234
20;86;2;False;2018/10/05 01:43:03;1234
20;87;2;False;2018/10/05 01:43:03;1234
21;90;2;False;2018/10/05 01:43:03;1234
22;93;2;False;2018/10/05 01:43:03;1234
22;94;2;False;2018/10/05 01:43:03;1234
22;95;2;False;2018/10/05 01:43:03;1234
22;96;2;False;2018/10/05 01:43:03;1234
23;99;2;False;2018/10/05 01:43:03;1234
23;100;2;False;2018/10/05 01:43:03;1234
23;101;2;False;2018/10/05 01:43:03;1234
23;102;2;False;2018/10/05 01:43:03;1234
24;105;2;False;2018/10/05 01:43:03;1234
24;106;2;False;2018/10/05 01:43:03;1234
24;107;2;False;2018/10/05 01:43:03;1234
24;108;2;False;2018/10/05 01:43:03;1234
25;111;2;False;2018/10/05 01:43:03;1234
26;114;2;False;2018/10/05 01:43:03;1234
26;115;2;False;2018/10/05 01:43:03;1234
27;118;2;False;2018/10/05 01:43:03;1234
28;119;0;True;2018/10/05 01:43:03;1234
28;120;1;False;2018/10/05 01:43:03;1234
29;123;2;False;2018/10/05 01:43:03;1234
29;124;2;False;2018/10/05 01:43:03;1234
30;127;2;False;2018/10/05 01:43:03;1234
30;128;2;False;2018/10/05 01:43:03;1234
30;129;2;False;2018/10/05 01:43:03;1234
31;132;2;False;2018/10/05 01:43:03;1234
31;133;2;False;2018/10/05 01:43:03;1234
31;134;2;False;2018/10/05 01:43:03;1234
31;135;2;False;2018/10/05 01:43:03;1234
31;136;2;False;2018/10/05 01:43:03;1234
31;137;2;False;2018/10/05 01:43:03;1234
32;140;2;False;2018/10/05 01:43:03;1234
33;143;2;False;2018/10/05 01:43:03;1234
33;144;2;False;2018/10/05 01:43:03;1234
