ID;LoaiDuLieu;MaDuLieu;DuLieu1;DuLieu2;UpdateDate;MaGiaoXuRieng
1;1;Maria;Maria;;2018/10/03 03:07:17;
2;1;Basiliô;Basiliô;;2018/10/03 03:07:17;
3;1;Grêgoriô Nazianzênô;Grêgoriô Nazianzênô;;2018/10/03 03:07:17;
4;1;Thánh Danh;Thánh Danh;;2018/10/03 03:07:17;
5;1;Elisabeth Ann Senton;Elisabeth Ann Senton;;2018/10/03 03:07:17;
6;1;Gioan Neumann;Gioan Neumann;;2018/10/03 03:07:17;
7;1;Anrê Besset;Anrê Besset;;2018/10/03 03:07:17;
8;1;Raymunđô;Raymunđô;;2018/10/03 03:07:17;
9;1;Giuse Tuấn;Giuse Tuấn;;2018/10/03 03:07:17;
10;1;Hilariô;Hilariô;;2018/10/03 03:07:17;
11;1;Đaminh Khảm;Đaminh Khảm;;2018/10/03 03:07:17;
12;1;Giuse Tả;Giuse Tả;;2018/10/03 03:07:17;
13;1;Luca Thìn;Luca Thìn;;2018/10/03 03:07:17;
14;1;Antôn;Antôn;;2018/10/03 03:07:17;
15;1;Phabianô;Phabianô;;2018/10/03 03:07:17;
16;1;Sêbastianô;Sêbastianô;;2018/10/03 03:07:17;
17;1;Anê;Anê;;2018/10/03 03:07:17;
18;1;Vinhsơn;Vinhsơn;;2018/10/03 03:07:17;
19;1;Matthêu Đậu;Matthêu Đậu;;2018/10/03 03:07:17;
20;1;Phanxicô Tế;Phanxicô Tế;;2018/10/03 03:07:17;
21;1;Phanxicô Salêsiô;Phanxicô Salêsiô;;2018/10/03 03:07:17;
22;1;Phaolô;Phaolô;;2018/10/03 03:07:17;
23;1;Timôthêô;Timôthêô;;2018/10/03 03:07:17;
24;1;Titô;Titô;;2018/10/03 03:07:17;
25;1;Angiêla Mêrisi;Angiêla Mêrisi;;2018/10/03 03:07:17;
26;1;Tôma Aquinô;Tôma Aquinô;;2018/10/03 03:07:17;
27;1;Tôma Khuông;Tôma Khuông;;2018/10/03 03:07:17;
28;1;Gioan Boscô;Gioan Boscô;;2018/10/03 03:07:17;
29;1;Maria;Maria;;2018/10/03 03:07:17;
30;1;Gioan Ven;Gioan Ven;;2018/10/03 03:07:17;
31;1;Blasiô;Blasiô;;2018/10/03 03:07:17;
32;1;Ansgariô;Ansgariô;;2018/10/03 03:07:17;
33;1;Agatha;Agatha;;2018/10/03 03:07:17;
34;1;Phaolô Miki;Phaolô Miki;;2018/10/03 03:07:17;
35;1;Giêrônimô Emilianô;Giêrônimô Emilianô;;2018/10/03 03:07:17;
36;1;Giôsêphina Bakhita;Giôsêphina Bakhita;;2018/10/03 03:07:17;
37;1;Scholastica;Scholastica;;2018/10/03 03:07:17;
38;1;Maria;Maria;;2018/10/03 03:07:17;
39;1;Lorensô Hưởng;Lorensô Hưởng;;2018/10/03 03:07:17;
40;1;Phaolô Lộc;Phaolô Lộc;;2018/10/03 03:07:17;
41;1;Cyrillô;Cyrillô;;2018/10/03 03:07:17;
42;1;Mêthôđiô;Mêthôđiô;;2018/10/03 03:07:17;
43;1;Phêrô Đamianô;Phêrô Đamianô;;2018/10/03 03:07:17;
44;1;Pôlicarpô;Pôlicarpô;;2018/10/03 03:07:17;
45;1;Katherine Drexel;Katherine Drexel;;2018/10/03 03:07:17;
46;1;Casimirô;Casimirô;;2018/10/03 03:07:17;
47;1;Perpêtua;Perpêtua;;2018/10/03 03:07:17;
48;1;Phêlicita;Phêlicita;;2018/10/03 03:07:17;
49;1;Gioan Thiên Chúa;Gioan Thiên Chúa;;2018/10/03 03:07:17;
50;1;Phanxica Roma;Phanxica Roma;;2018/10/03 03:07:17;
51;1;Đaminh Cẩm;Đaminh Cẩm;;2018/10/03 03:07:17;
52;1;Patriciô;Patriciô;;2018/10/03 03:07:17;
53;1;Cyrillô;Cyrillô;;2018/10/03 03:07:17;
54;1;Giuse;Giuse;;2018/10/03 03:07:17;
